, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.178556009000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.004100540000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 3408359.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 3263528.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 3130630.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 2981469.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 2885862.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 2756372.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 2666402.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 2605797.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 2501998.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 2426623.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 2412275.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 2340156.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 2268008.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 2240792.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 2187005.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 2148647.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 2107328.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 2027647.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1996709.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1944824.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1900930.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1894541.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1847572.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1804833.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1733596.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1679608.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 1677440.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 1635547.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 1599293.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 1587042.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 1535944.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 1515560.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 1035113.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 1013251.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 996536.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 978390.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 953732.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 906419.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 841116.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 739145.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 634291.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 543368.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 470471.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 419623.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 368821.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 323946.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 296619.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 271556.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 254091.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 239495.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 230747.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 221746.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 215535.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 211642.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 210927.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 209553.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 208779.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 212186.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 213995.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 217135.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 215741.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 213476.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 212697.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 214401.000000000000
68, GPU1.chiplet_02.SA_00.CU_00, inst_count, 700079.000000000000
69, GPU1.chiplet_02.SA_00.CU_01, inst_count, 693321.000000000000
70, GPU1.chiplet_02.SA_00.CU_02, inst_count, 679730.000000000000
71, GPU1.chiplet_02.SA_00.CU_03, inst_count, 659785.000000000000
72, GPU1.chiplet_02.SA_01.CU_00, inst_count, 630822.000000000000
73, GPU1.chiplet_02.SA_01.CU_01, inst_count, 577526.000000000000
