, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.177520118000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.003026138000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1475729.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1358490.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1339870.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1251504.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1317137.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1335488.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1325284.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1287860.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1256587.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1303792.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1287235.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1268080.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1304357.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1310735.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1290361.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1325162.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1239939.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1260046.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1279716.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1227617.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1278772.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1153597.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1307224.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1200912.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1259805.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1238998.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 1253083.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 1213057.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 1251808.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 1277084.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 1267228.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 1077777.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 832792.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 698086.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 788819.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 850026.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 698011.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 847607.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 809286.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 809353.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 623402.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 715198.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 655596.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 774323.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 791405.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 617834.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 673339.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 779860.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 799843.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 660958.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 848907.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 650381.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 850107.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 629078.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 610238.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 645326.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 561959.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 592652.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 574187.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 545473.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 524340.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 648229.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 540345.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 534312.000000000000
68, GPU1.chiplet_02.SA_00.CU_00, inst_count, 703657.000000000000
69, GPU1.chiplet_02.SA_00.CU_01, inst_count, 744335.000000000000
70, GPU1.chiplet_02.SA_00.CU_02, inst_count, 743247.000000000000
71, GPU1.chiplet_02.SA_00.CU_03, inst_count, 645698.000000000000
72, GPU1.chiplet_02.SA_01.CU_00, inst_count, 620355.000000000000
73, GPU1.chiplet_02.SA_01.CU_01, inst_count, 666325.000000000000
74, GPU1.chiplet_02.SA_01.CU_02, inst_count, 711025.000000000000
75, GPU1.chiplet_02.SA_01.CU_03, inst_count, 659453.000000000000
76, GPU1.chiplet_02.SA_02.CU_00, inst_count, 737948.000000000000
77, GPU1.chiplet_02.SA_02.CU_01, inst_count, 612020.000000000000
78, GPU1.chiplet_02.SA_02.CU_02, inst_count, 677967.000000000000
79, GPU1.chiplet_02.SA_02.CU_03, inst_count, 645086.000000000000
80, GPU1.chiplet_02.SA_03.CU_00, inst_count, 617196.000000000000
81, GPU1.chiplet_02.SA_03.CU_01, inst_count, 649635.000000000000
82, GPU1.chiplet_02.SA_03.CU_02, inst_count, 645006.000000000000
83, GPU1.chiplet_02.SA_03.CU_03, inst_count, 676499.000000000000
84, GPU1.chiplet_02.SA_04.CU_00, inst_count, 742959.000000000000
85, GPU1.chiplet_02.SA_04.CU_01, inst_count, 662892.000000000000
86, GPU1.chiplet_02.SA_04.CU_02, inst_count, 605950.000000000000
87, GPU1.chiplet_02.SA_04.CU_03, inst_count, 606044.000000000000
88, GPU1.chiplet_02.SA_05.CU_00, inst_count, 659953.000000000000
89, GPU1.chiplet_02.SA_05.CU_01, inst_count, 596705.000000000000
90, GPU1.chiplet_02.SA_05.CU_02, inst_count, 586253.000000000000
91, GPU1.chiplet_02.SA_05.CU_03, inst_count, 603043.000000000000
92, GPU1.chiplet_02.SA_06.CU_00, inst_count, 566879.000000000000
93, GPU1.chiplet_02.SA_06.CU_01, inst_count, 471107.000000000000
94, GPU1.chiplet_02.SA_06.CU_02, inst_count, 502146.000000000000
95, GPU1.chiplet_02.SA_06.CU_03, inst_count, 581508.000000000000
96, GPU1.chiplet_02.SA_07.CU_00, inst_count, 477315.000000000000
97, GPU1.chiplet_02.SA_07.CU_01, inst_count, 501916.000000000000
98, GPU1.chiplet_02.SA_07.CU_02, inst_count, 391700.000000000000
99, GPU1.chiplet_02.SA_07.CU_03, inst_count, 593769.000000000000
100, GPU1.chiplet_03.SA_00.CU_00, inst_count, 541073.000000000000
101, GPU1.chiplet_03.SA_00.CU_01, inst_count, 609554.000000000000
102, GPU1.chiplet_03.SA_00.CU_02, inst_count, 676368.000000000000
103, GPU1.chiplet_03.SA_00.CU_03, inst_count, 535483.000000000000
104, GPU1.chiplet_03.SA_01.CU_00, inst_count, 621319.000000000000
105, GPU1.chiplet_03.SA_01.CU_01, inst_count, 625284.000000000000
106, GPU1.chiplet_03.SA_01.CU_02, inst_count, 610515.000000000000
107, GPU1.chiplet_03.SA_01.CU_03, inst_count, 648331.000000000000
108, GPU1.chiplet_03.SA_02.CU_00, inst_count, 592328.000000000000
109, GPU1.chiplet_03.SA_02.CU_01, inst_count, 677909.000000000000
110, GPU1.chiplet_03.SA_02.CU_02, inst_count, 652868.000000000000
111, GPU1.chiplet_03.SA_02.CU_03, inst_count, 542143.000000000000
112, GPU1.chiplet_03.SA_03.CU_00, inst_count, 532421.000000000000
113, GPU1.chiplet_03.SA_03.CU_01, inst_count, 503603.000000000000
114, GPU1.chiplet_03.SA_03.CU_02, inst_count, 675686.000000000000
115, GPU1.chiplet_03.SA_03.CU_03, inst_count, 521581.000000000000
116, GPU1.chiplet_03.SA_04.CU_00, inst_count, 522187.000000000000
117, GPU1.chiplet_03.SA_04.CU_01, inst_count, 497237.000000000000
118, GPU1.chiplet_03.SA_04.CU_02, inst_count, 505324.000000000000
119, GPU1.chiplet_03.SA_04.CU_03, inst_count, 637889.000000000000
120, GPU1.chiplet_03.SA_05.CU_00, inst_count, 471996.000000000000
121, GPU1.chiplet_03.SA_05.CU_01, inst_count, 465406.000000000000
122, GPU1.chiplet_03.SA_05.CU_02, inst_count, 456085.000000000000
123, GPU1.chiplet_03.SA_05.CU_03, inst_count, 482932.000000000000
124, GPU1.chiplet_03.SA_06.CU_00, inst_count, 488592.000000000000
125, GPU1.chiplet_03.SA_06.CU_01, inst_count, 501091.000000000000
126, GPU1.chiplet_03.SA_06.CU_02, inst_count, 386954.000000000000
127, GPU1.chiplet_03.SA_06.CU_03, inst_count, 360864.000000000000
128, GPU1.chiplet_03.SA_07.CU_00, inst_count, 408335.000000000000
129, GPU1.chiplet_03.SA_07.CU_01, inst_count, 500638.000000000000
130, GPU1.chiplet_03.SA_07.CU_02, inst_count, 423484.000000000000
131, GPU1.chiplet_03.SA_07.CU_03, inst_count, 413322.000000000000
132, GPU1.chiplet_00.SA_00.CU_00, last_WG_finish_time, 0.177520117000
133, GPU1.chiplet_00.SA_00.CU_01, last_WG_finish_time, 0.177520116000
134, GPU1.chiplet_00.SA_00.CU_02, last_WG_finish_time, 0.177520116000
135, GPU1.chiplet_00.SA_00.CU_03, last_WG_finish_time, 0.177520117000
136, GPU1.chiplet_00.SA_01.CU_00, last_WG_finish_time, 0.177520115000
137, GPU1.chiplet_00.SA_01.CU_01, last_WG_finish_time, 0.177520117000
138, GPU1.chiplet_00.SA_01.CU_02, last_WG_finish_time, 0.177520116000
139, GPU1.chiplet_00.SA_01.CU_03, last_WG_finish_time, 0.177520116000
140, GPU1.chiplet_00.SA_02.CU_00, last_WG_finish_time, 0.177520110000
141, GPU1.chiplet_00.SA_02.CU_01, last_WG_finish_time, 0.177520117000
142, GPU1.chiplet_00.SA_02.CU_02, last_WG_finish_time, 0.177520118000
143, GPU1.chiplet_00.SA_02.CU_03, last_WG_finish_time, 0.177520117000
144, GPU1.chiplet_00.SA_03.CU_00, last_WG_finish_time, 0.177520061000
145, GPU1.chiplet_00.SA_03.CU_01, last_WG_finish_time, 0.177520115000
146, GPU1.chiplet_00.SA_03.CU_02, last_WG_finish_time, 0.177520117000
147, GPU1.chiplet_00.SA_03.CU_03, last_WG_finish_time, 0.177520117000
148, GPU1.chiplet_00.SA_04.CU_00, last_WG_finish_time, 0.177520117000
149, GPU1.chiplet_00.SA_04.CU_01, last_WG_finish_time, 0.177520118000
150, GPU1.chiplet_00.SA_04.CU_02, last_WG_finish_time, 0.177520116000
151, GPU1.chiplet_00.SA_04.CU_03, last_WG_finish_time, 0.177520117000
152, GPU1.chiplet_00.SA_05.CU_00, last_WG_finish_time, 0.177520117000
153, GPU1.chiplet_00.SA_05.CU_01, last_WG_finish_time, 0.177520117000
154, GPU1.chiplet_00.SA_05.CU_02, last_WG_finish_time, 0.177520117000
155, GPU1.chiplet_00.SA_05.CU_03, last_WG_finish_time, 0.177520118000
156, GPU1.chiplet_00.SA_06.CU_00, last_WG_finish_time, 0.177520117000
157, GPU1.chiplet_00.SA_06.CU_01, last_WG_finish_time, 0.177520000000
158, GPU1.chiplet_00.SA_06.CU_02, last_WG_finish_time, 0.177520111000
159, GPU1.chiplet_00.SA_06.CU_03, last_WG_finish_time, 0.177520117000
160, GPU1.chiplet_00.SA_07.CU_00, last_WG_finish_time, 0.177520113000
161, GPU1.chiplet_00.SA_07.CU_01, last_WG_finish_time, 0.177520117000
162, GPU1.chiplet_00.SA_07.CU_02, last_WG_finish_time, 0.177520111000
163, GPU1.chiplet_00.SA_07.CU_03, last_WG_finish_time, 0.177520117000
164, GPU1.chiplet_01.SA_00.CU_00, last_WG_finish_time, 0.177520093000
165, GPU1.chiplet_01.SA_00.CU_01, last_WG_finish_time, 0.177520112000
166, GPU1.chiplet_01.SA_00.CU_02, last_WG_finish_time, 0.177520086000
167, GPU1.chiplet_01.SA_00.CU_03, last_WG_finish_time, 0.177520094000
168, GPU1.chiplet_01.SA_01.CU_00, last_WG_finish_time, 0.177520113000
169, GPU1.chiplet_01.SA_01.CU_01, last_WG_finish_time, 0.177520097000
170, GPU1.chiplet_01.SA_01.CU_02, last_WG_finish_time, 0.177520117000
171, GPU1.chiplet_01.SA_01.CU_03, last_WG_finish_time, 0.177520117000
172, GPU1.chiplet_01.SA_02.CU_00, last_WG_finish_time, 0.177520116000
173, GPU1.chiplet_01.SA_02.CU_01, last_WG_finish_time, 0.177520009000
174, GPU1.chiplet_01.SA_02.CU_02, last_WG_finish_time, 0.177520110000
175, GPU1.chiplet_01.SA_02.CU_03, last_WG_finish_time, 0.177520111000
176, GPU1.chiplet_01.SA_03.CU_00, last_WG_finish_time, 0.177520118000
177, GPU1.chiplet_01.SA_03.CU_01, last_WG_finish_time, 0.177520118000
178, GPU1.chiplet_01.SA_03.CU_02, last_WG_finish_time, 0.177519987000
179, GPU1.chiplet_01.SA_03.CU_03, last_WG_finish_time, 0.177519979000
180, GPU1.chiplet_01.SA_04.CU_00, last_WG_finish_time, 0.177520117000
181, GPU1.chiplet_01.SA_04.CU_01, last_WG_finish_time, 0.177520116000
182, GPU1.chiplet_01.SA_04.CU_02, last_WG_finish_time, 0.177520113000
183, GPU1.chiplet_01.SA_04.CU_03, last_WG_finish_time, 0.177520111000
184, GPU1.chiplet_01.SA_05.CU_00, last_WG_finish_time, 0.177520115000
185, GPU1.chiplet_01.SA_05.CU_01, last_WG_finish_time, 0.177519409000
186, GPU1.chiplet_01.SA_05.CU_02, last_WG_finish_time, 0.177520059000
187, GPU1.chiplet_01.SA_05.CU_03, last_WG_finish_time, 0.177520114000
188, GPU1.chiplet_01.SA_06.CU_00, last_WG_finish_time, 0.177520112000
189, GPU1.chiplet_01.SA_06.CU_01, last_WG_finish_time, 0.177519855000
190, GPU1.chiplet_01.SA_06.CU_02, last_WG_finish_time, 0.177519980000
191, GPU1.chiplet_01.SA_06.CU_03, last_WG_finish_time, 0.177520117000
192, GPU1.chiplet_01.SA_07.CU_00, last_WG_finish_time, 0.177520115000
193, GPU1.chiplet_01.SA_07.CU_01, last_WG_finish_time, 0.177519840000
194, GPU1.chiplet_01.SA_07.CU_02, last_WG_finish_time, 0.177520111000
195, GPU1.chiplet_01.SA_07.CU_03, last_WG_finish_time, 0.177520114000
196, GPU1.chiplet_02.SA_00.CU_00, last_WG_finish_time, 0.177520117000
197, GPU1.chiplet_02.SA_00.CU_01, last_WG_finish_time, 0.177520112000
198, GPU1.chiplet_02.SA_00.CU_02, last_WG_finish_time, 0.177520117000
199, GPU1.chiplet_02.SA_00.CU_03, last_WG_finish_time, 0.177520115000
200, GPU1.chiplet_02.SA_01.CU_00, last_WG_finish_time, 0.177520113000
201, GPU1.chiplet_02.SA_01.CU_01, last_WG_finish_time, 0.177520023000
202, GPU1.chiplet_02.SA_01.CU_02, last_WG_finish_time, 0.177520117000
203, GPU1.chiplet_02.SA_01.CU_03, last_WG_finish_time, 0.177520112000
204, GPU1.chiplet_02.SA_02.CU_00, last_WG_finish_time, 0.177520117000
205, GPU1.chiplet_02.SA_02.CU_01, last_WG_finish_time, 0.177520112000
206, GPU1.chiplet_02.SA_02.CU_02, last_WG_finish_time, 0.177519430000
207, GPU1.chiplet_02.SA_02.CU_03, last_WG_finish_time, 0.177520117000
208, GPU1.chiplet_02.SA_03.CU_00, last_WG_finish_time, 0.177520115000
209, GPU1.chiplet_02.SA_03.CU_01, last_WG_finish_time, 0.177520118000
210, GPU1.chiplet_02.SA_03.CU_02, last_WG_finish_time, 0.177520071000
211, GPU1.chiplet_02.SA_03.CU_03, last_WG_finish_time, 0.177520114000
212, GPU1.chiplet_02.SA_04.CU_00, last_WG_finish_time, 0.177520111000
213, GPU1.chiplet_02.SA_04.CU_01, last_WG_finish_time, 0.177520115000
214, GPU1.chiplet_02.SA_04.CU_02, last_WG_finish_time, 0.177520114000
215, GPU1.chiplet_02.SA_04.CU_03, last_WG_finish_time, 0.177520117000
216, GPU1.chiplet_02.SA_05.CU_00, last_WG_finish_time, 0.177520115000
217, GPU1.chiplet_02.SA_05.CU_01, last_WG_finish_time, 0.177520008000
218, GPU1.chiplet_02.SA_05.CU_02, last_WG_finish_time, 0.177520117000
219, GPU1.chiplet_02.SA_05.CU_03, last_WG_finish_time, 0.177520060000
220, GPU1.chiplet_02.SA_06.CU_00, last_WG_finish_time, 0.177520112000
221, GPU1.chiplet_02.SA_06.CU_01, last_WG_finish_time, 0.177520109000
222, GPU1.chiplet_02.SA_06.CU_02, last_WG_finish_time, 0.177520063000
223, GPU1.chiplet_02.SA_06.CU_03, last_WG_finish_time, 0.177520113000
224, GPU1.chiplet_02.SA_07.CU_00, last_WG_finish_time, 0.177520116000
225, GPU1.chiplet_02.SA_07.CU_01, last_WG_finish_time, 0.177520113000
226, GPU1.chiplet_02.SA_07.CU_02, last_WG_finish_time, 0.177519333000
227, GPU1.chiplet_02.SA_07.CU_03, last_WG_finish_time, 0.177520118000
228, GPU1.chiplet_03.SA_00.CU_00, last_WG_finish_time, 0.177520117000
229, GPU1.chiplet_03.SA_00.CU_01, last_WG_finish_time, 0.177520114000
230, GPU1.chiplet_03.SA_00.CU_02, last_WG_finish_time, 0.177520113000
231, GPU1.chiplet_03.SA_00.CU_03, last_WG_finish_time, 0.177520114000
232, GPU1.chiplet_03.SA_01.CU_00, last_WG_finish_time, 0.177520115000
233, GPU1.chiplet_03.SA_01.CU_01, last_WG_finish_time, 0.177520073000
234, GPU1.chiplet_03.SA_01.CU_02, last_WG_finish_time, 0.177520104000
235, GPU1.chiplet_03.SA_01.CU_03, last_WG_finish_time, 0.177519782000
236, GPU1.chiplet_03.SA_02.CU_00, last_WG_finish_time, 0.177520117000
237, GPU1.chiplet_03.SA_02.CU_01, last_WG_finish_time, 0.177520114000
238, GPU1.chiplet_03.SA_02.CU_02, last_WG_finish_time, 0.177519945000
239, GPU1.chiplet_03.SA_02.CU_03, last_WG_finish_time, 0.177520118000
240, GPU1.chiplet_03.SA_03.CU_00, last_WG_finish_time, 0.177520117000
241, GPU1.chiplet_03.SA_03.CU_01, last_WG_finish_time, 0.177520117000
242, GPU1.chiplet_03.SA_03.CU_02, last_WG_finish_time, 0.177520111000
243, GPU1.chiplet_03.SA_03.CU_03, last_WG_finish_time, 0.177520115000
244, GPU1.chiplet_03.SA_04.CU_00, last_WG_finish_time, 0.177520117000
245, GPU1.chiplet_03.SA_04.CU_01, last_WG_finish_time, 0.177519816000
246, GPU1.chiplet_03.SA_04.CU_02, last_WG_finish_time, 0.177520111000
247, GPU1.chiplet_03.SA_04.CU_03, last_WG_finish_time, 0.177520117000
248, GPU1.chiplet_03.SA_05.CU_00, last_WG_finish_time, 0.177520094000
249, GPU1.chiplet_03.SA_05.CU_01, last_WG_finish_time, 0.177519786000
250, GPU1.chiplet_03.SA_05.CU_02, last_WG_finish_time, 0.177520113000
251, GPU1.chiplet_03.SA_05.CU_03, last_WG_finish_time, 0.177520114000
252, GPU1.chiplet_03.SA_06.CU_00, last_WG_finish_time, 0.177519566000
253, GPU1.chiplet_03.SA_06.CU_01, last_WG_finish_time, 0.177519782000
254, GPU1.chiplet_03.SA_06.CU_02, last_WG_finish_time, 0.177520044000
255, GPU1.chiplet_03.SA_06.CU_03, last_WG_finish_time, 0.177520081000
256, GPU1.chiplet_03.SA_07.CU_00, last_WG_finish_time, 0.177519940000
257, GPU1.chiplet_03.SA_07.CU_01, last_WG_finish_time, 0.177519765000
258, GPU1.chiplet_03.SA_07.CU_02, last_WG_finish_time, 0.177520081000
259, GPU1.chiplet_03.SA_07.CU_03, last_WG_finish_time, 0.177520111000
260, GPU1.chiplet_00.SA_00.L1ICache, req_average_latency, 0.000000024235
261, GPU1.chiplet_00.SA_01.L1ICache, req_average_latency, 0.000000024234
262, GPU1.chiplet_00.SA_02.L1ICache, req_average_latency, 0.000000024244
263, GPU1.chiplet_00.SA_03.L1ICache, req_average_latency, 0.000000024199
264, GPU1.chiplet_00.SA_04.L1ICache, req_average_latency, 0.000000024198
265, GPU1.chiplet_00.SA_05.L1ICache, req_average_latency, 0.000000024219
266, GPU1.chiplet_00.SA_06.L1ICache, req_average_latency, 0.000000024176
267, GPU1.chiplet_00.SA_07.L1ICache, req_average_latency, 0.000000024202
268, GPU1.chiplet_01.SA_00.L1ICache, req_average_latency, 0.000000024691
269, GPU1.chiplet_01.SA_01.L1ICache, req_average_latency, 0.000000024694
270, GPU1.chiplet_01.SA_02.L1ICache, req_average_latency, 0.000000024790
271, GPU1.chiplet_01.SA_03.L1ICache, req_average_latency, 0.000000024812
272, GPU1.chiplet_01.SA_04.L1ICache, req_average_latency, 0.000000024767
273, GPU1.chiplet_01.SA_05.L1ICache, req_average_latency, 0.000000024823
