, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.151508145000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.064130423000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1054344.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 817199.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 793989.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 670553.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 954728.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 918938.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 595288.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 848186.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 762600.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 744179.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 812568.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 916567.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 460218.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 793284.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 910558.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 853227.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 914191.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 685072.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 892680.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 843300.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 994581.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 705679.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 977354.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1004579.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 822707.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 924996.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 733011.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 886308.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 805681.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 989925.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 999915.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 441642.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 802741.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 571900.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 654567.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 950343.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 781512.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 861959.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 597793.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 704549.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 708956.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 677169.000000000000
