, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.049466048000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.005775269000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 7813758.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 7810560.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 7810614.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 7809053.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 7809180.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 7808580.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 7808405.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 7807521.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 7808251.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 7806003.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 7805700.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 7805565.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 7806195.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 7806880.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 7804920.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 7803929.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 7805893.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 7803958.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 7802952.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 7803504.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 7803425.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 7803442.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 7803193.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 7802786.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 7801951.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 7802000.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 7801612.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 7801176.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 7801223.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 7800664.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 7800929.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 7801081.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 7826948.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 7826252.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 7826344.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 7826019.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 7825157.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 7825667.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 7825082.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 7825063.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 7824927.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 7824535.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 7824695.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 7824315.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 7824080.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 7823934.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 7824017.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 7823857.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 7823365.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 7823376.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 7823452.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 7823082.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 7822737.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 7822673.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 7822291.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 7822303.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 7822174.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 7821914.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 7822060.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 7821917.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 7821501.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 7821101.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 7822319.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 7821399.000000000000
68, GPU1.chiplet_02.SA_00.CU_00, inst_count, 7815928.000000000000
69, GPU1.chiplet_02.SA_00.CU_01, inst_count, 7816191.000000000000
70, GPU1.chiplet_02.SA_00.CU_02, inst_count, 7816469.000000000000
71, GPU1.chiplet_02.SA_00.CU_03, inst_count, 7816778.000000000000
72, GPU1.chiplet_02.SA_01.CU_00, inst_count, 7815586.000000000000
73, GPU1.chiplet_02.SA_01.CU_01, inst_count, 7815524.000000000000
74, GPU1.chiplet_02.SA_01.CU_02, inst_count, 7815692.000000000000
75, GPU1.chiplet_02.SA_01.CU_03, inst_count, 7815684.000000000000
76, GPU1.chiplet_02.SA_02.CU_00, inst_count, 7815122.000000000000
77, GPU1.chiplet_02.SA_02.CU_01, inst_count, 7814720.000000000000
78, GPU1.chiplet_02.SA_02.CU_02, inst_count, 7814607.000000000000
79, GPU1.chiplet_02.SA_02.CU_03, inst_count, 7815307.000000000000
80, GPU1.chiplet_02.SA_03.CU_00, inst_count, 7815470.000000000000
81, GPU1.chiplet_02.SA_03.CU_01, inst_count, 7815041.000000000000
82, GPU1.chiplet_02.SA_03.CU_02, inst_count, 7815597.000000000000
83, GPU1.chiplet_02.SA_03.CU_03, inst_count, 7815292.000000000000
84, GPU1.chiplet_02.SA_04.CU_00, inst_count, 7816136.000000000000
85, GPU1.chiplet_02.SA_04.CU_01, inst_count, 7815470.000000000000
86, GPU1.chiplet_02.SA_04.CU_02, inst_count, 7815271.000000000000
87, GPU1.chiplet_02.SA_04.CU_03, inst_count, 7815195.000000000000
88, GPU1.chiplet_02.SA_05.CU_00, inst_count, 7815324.000000000000
89, GPU1.chiplet_02.SA_05.CU_01, inst_count, 7814780.000000000000
90, GPU1.chiplet_02.SA_05.CU_02, inst_count, 7815361.000000000000
91, GPU1.chiplet_02.SA_05.CU_03, inst_count, 7815155.000000000000
92, GPU1.chiplet_02.SA_06.CU_00, inst_count, 7814975.000000000000
93, GPU1.chiplet_02.SA_06.CU_01, inst_count, 7814782.000000000000
94, GPU1.chiplet_02.SA_06.CU_02, inst_count, 7814146.000000000000
95, GPU1.chiplet_02.SA_06.CU_03, inst_count, 7814408.000000000000
96, GPU1.chiplet_02.SA_07.CU_00, inst_count, 7814971.000000000000
97, GPU1.chiplet_02.SA_07.CU_01, inst_count, 7813921.000000000000
98, GPU1.chiplet_02.SA_07.CU_02, inst_count, 7814068.000000000000
99, GPU1.chiplet_02.SA_07.CU_03, inst_count, 7814006.000000000000
100, GPU1.chiplet_03.SA_00.CU_00, inst_count, 7807619.000000000000
101, GPU1.chiplet_03.SA_00.CU_01, inst_count, 7807383.000000000000
102, GPU1.chiplet_03.SA_00.CU_02, inst_count, 7807291.000000000000
103, GPU1.chiplet_03.SA_00.CU_03, inst_count, 7807801.000000000000
104, GPU1.chiplet_03.SA_01.CU_00, inst_count, 7807980.000000000000
105, GPU1.chiplet_03.SA_01.CU_01, inst_count, 7807170.000000000000
106, GPU1.chiplet_03.SA_01.CU_02, inst_count, 7806313.000000000000
107, GPU1.chiplet_03.SA_01.CU_03, inst_count, 7807124.000000000000
108, GPU1.chiplet_03.SA_02.CU_00, inst_count, 7808145.000000000000
109, GPU1.chiplet_03.SA_02.CU_01, inst_count, 7807877.000000000000
110, GPU1.chiplet_03.SA_02.CU_02, inst_count, 7808172.000000000000
111, GPU1.chiplet_03.SA_02.CU_03, inst_count, 7807000.000000000000
112, GPU1.chiplet_03.SA_03.CU_00, inst_count, 7806724.000000000000
113, GPU1.chiplet_03.SA_03.CU_01, inst_count, 7806633.000000000000
