, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.092405088000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.005027994000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 7813363.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 7813193.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 7813299.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 7813390.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 7813300.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 7813409.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 7811904.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 7813355.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 7813342.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 7813398.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 7813262.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 7811817.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 7813380.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 7811819.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 7813253.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 7813423.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 7811847.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 7811752.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 7813418.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 7813318.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 7813299.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 7813235.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 7813262.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 7813409.000000000000
28, GPU1.chiplet_00.SA_06.CU_00, inst_count, 7813320.000000000000
29, GPU1.chiplet_00.SA_06.CU_01, inst_count, 7813298.000000000000
30, GPU1.chiplet_00.SA_06.CU_02, inst_count, 7813336.000000000000
31, GPU1.chiplet_00.SA_06.CU_03, inst_count, 7813303.000000000000
32, GPU1.chiplet_00.SA_07.CU_00, inst_count, 7813352.000000000000
33, GPU1.chiplet_00.SA_07.CU_01, inst_count, 7813415.000000000000
34, GPU1.chiplet_00.SA_07.CU_02, inst_count, 7813303.000000000000
35, GPU1.chiplet_00.SA_07.CU_03, inst_count, 7813245.000000000000
36, GPU1.chiplet_01.SA_00.CU_00, inst_count, 7812233.000000000000
37, GPU1.chiplet_01.SA_00.CU_01, inst_count, 7812202.000000000000
38, GPU1.chiplet_01.SA_00.CU_02, inst_count, 7812075.000000000000
39, GPU1.chiplet_01.SA_00.CU_03, inst_count, 7812215.000000000000
40, GPU1.chiplet_01.SA_01.CU_00, inst_count, 7810675.000000000000
41, GPU1.chiplet_01.SA_01.CU_01, inst_count, 7812288.000000000000
42, GPU1.chiplet_01.SA_01.CU_02, inst_count, 7812223.000000000000
43, GPU1.chiplet_01.SA_01.CU_03, inst_count, 7812180.000000000000
44, GPU1.chiplet_01.SA_02.CU_00, inst_count, 7812142.000000000000
45, GPU1.chiplet_01.SA_02.CU_01, inst_count, 7812117.000000000000
46, GPU1.chiplet_01.SA_02.CU_02, inst_count, 7812017.000000000000
47, GPU1.chiplet_01.SA_02.CU_03, inst_count, 7812368.000000000000
48, GPU1.chiplet_01.SA_03.CU_00, inst_count, 7811956.000000000000
49, GPU1.chiplet_01.SA_03.CU_01, inst_count, 7810477.000000000000
50, GPU1.chiplet_01.SA_03.CU_02, inst_count, 7812218.000000000000
51, GPU1.chiplet_01.SA_03.CU_03, inst_count, 7812052.000000000000
52, GPU1.chiplet_01.SA_04.CU_00, inst_count, 7812164.000000000000
53, GPU1.chiplet_01.SA_04.CU_01, inst_count, 7812073.000000000000
54, GPU1.chiplet_01.SA_04.CU_02, inst_count, 7812102.000000000000
55, GPU1.chiplet_01.SA_04.CU_03, inst_count, 7810660.000000000000
56, GPU1.chiplet_01.SA_05.CU_00, inst_count, 7812202.000000000000
57, GPU1.chiplet_01.SA_05.CU_01, inst_count, 7812025.000000000000
58, GPU1.chiplet_01.SA_05.CU_02, inst_count, 7812191.000000000000
59, GPU1.chiplet_01.SA_05.CU_03, inst_count, 7812155.000000000000
60, GPU1.chiplet_01.SA_06.CU_00, inst_count, 7812062.000000000000
61, GPU1.chiplet_01.SA_06.CU_01, inst_count, 7812044.000000000000
62, GPU1.chiplet_01.SA_06.CU_02, inst_count, 7812020.000000000000
63, GPU1.chiplet_01.SA_06.CU_03, inst_count, 7812106.000000000000
64, GPU1.chiplet_01.SA_07.CU_00, inst_count, 7812147.000000000000
65, GPU1.chiplet_01.SA_07.CU_01, inst_count, 7810404.000000000000
66, GPU1.chiplet_01.SA_07.CU_02, inst_count, 7812177.000000000000
67, GPU1.chiplet_01.SA_07.CU_03, inst_count, 7810602.000000000000
68, GPU1.chiplet_02.SA_00.CU_00, inst_count, 7812785.000000000000
69, GPU1.chiplet_02.SA_00.CU_01, inst_count, 7812676.000000000000
70, GPU1.chiplet_02.SA_00.CU_02, inst_count, 7812779.000000000000
71, GPU1.chiplet_02.SA_00.CU_03, inst_count, 7813080.000000000000
72, GPU1.chiplet_02.SA_01.CU_00, inst_count, 7812849.000000000000
