, where, what, value
0, driver, kernel_time, 0.000000000000
1, driver, total_time, 0.084157466000
2, GPU1.CommandProcessor, kernel_time, 0.000000000000
3, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.007679672000
4, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1277345.000000000000
5, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1229752.000000000000
6, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1195351.000000000000
7, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1171608.000000000000
8, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1117127.000000000000
9, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1075484.000000000000
10, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1040076.000000000000
11, GPU1.chiplet_00.SA_01.CU_03, inst_count, 980223.000000000000
12, GPU1.chiplet_00.SA_02.CU_00, inst_count, 956570.000000000000
13, GPU1.chiplet_00.SA_02.CU_01, inst_count, 918820.000000000000
14, GPU1.chiplet_00.SA_02.CU_02, inst_count, 926387.000000000000
15, GPU1.chiplet_00.SA_02.CU_03, inst_count, 889369.000000000000
16, GPU1.chiplet_00.SA_03.CU_00, inst_count, 886101.000000000000
17, GPU1.chiplet_00.SA_03.CU_01, inst_count, 876131.000000000000
18, GPU1.chiplet_00.SA_03.CU_02, inst_count, 871494.000000000000
19, GPU1.chiplet_00.SA_03.CU_03, inst_count, 865687.000000000000
20, GPU1.chiplet_00.SA_04.CU_00, inst_count, 862003.000000000000
21, GPU1.chiplet_00.SA_04.CU_01, inst_count, 864923.000000000000
22, GPU1.chiplet_00.SA_04.CU_02, inst_count, 845504.000000000000
23, GPU1.chiplet_00.SA_04.CU_03, inst_count, 874016.000000000000
24, GPU1.chiplet_00.SA_05.CU_00, inst_count, 825797.000000000000
25, GPU1.chiplet_00.SA_05.CU_01, inst_count, 838015.000000000000
26, GPU1.chiplet_00.SA_05.CU_02, inst_count, 870764.000000000000
27, GPU1.chiplet_00.SA_05.CU_03, inst_count, 848405.000000000000
